Nro. Propiedad;Direccion;Nombre Responsable;Apellido Responsable;email;fono;prorrateo;saldo inicial;suscrito email
1;Calle 1;Nombre 1;Apellido 1;ejemplo1@ejemplo.com;111111;2,3;10000;SI
2;Calle 2;Nombre 2;Apellido 2;ejemplo2@ejemplo.com;222222;5,4;24500;SI
3;Calle 3;Nombre 3;Apellido 3;ejemplo3@ejemplo.com;333333;6,2;3600;NO
4;Calle 4;Nombre 4;Apellido 4;ejemplo4@ejemplo.com;444444;4,2;0;SI
5;Calle 5;Nombre 5;Apellido 5;ejemplo5@ejemplo.com;555555;5,1;-5000;NO
6;Calle 6;Nombre 6;Apellido 6;ejemplo6@ejemplo.com;666666;3,3;6500;NO
7;Calle 7;Nombre 7;Apellido 7;ejemplo7@ejemplo.com;777777;6,8;-18000;SI
8;Calle 8;Nombre 8;Apellido 8;ejemplo8@ejemplo.com;888888;4,5;23000;SI
9;Calle 9;Nombre 9;Apellido 9;ejemplo9@ejemplo.com;999999;3,5;10000;NO
10;Calle 10;Nombre 10;Apellido 10;ejemplo10@ejemplo.com;1111110;2,9;24500;NO
11;Calle 11;Nombre 11;Apellido 11;ejemplo11@ejemplo.com;1222221;6,4;3600;SI
12;Calle 12;Nombre 12;Apellido 12;ejemplo12@ejemplo.com;1333332;2,3;0;NO
13;Calle 13;Nombre 13;Apellido 13;ejemplo13@ejemplo.com;1444443;4,5;-5000;NO
14;Calle 14;Nombre 14;Apellido 14;ejemplo14@ejemplo.com;1555554;6,5;6500;NO
15;Calle 15;Nombre 15;Apellido 15;ejemplo15@ejemplo.com;1666665;4,5;-18000;SI
16;Calle 16;Nombre 16;Apellido 16;ejemplo16@ejemplo.com;1777776;3,9;23000;SI
17;Calle 17;Nombre 17;Apellido 17;ejemplo17@ejemplo.com;1888887;4,8;10000;NO
18;Calle 18;Nombre 18;Apellido 18;ejemplo18@ejemplo.com;1999998;5,7;24500;SI
19;Calle 19;Nombre 19;Apellido 19;ejemplo19@ejemplo.com;2111109;2,9;3600;NO
20;Calle 20;Nombre 20;Apellido 20;ejemplo20@ejemplo.com;2222220;3,8;0;NO
21;Calle 21;Nombre 21;Apellido 21;ejemplo21@ejemplo.com;2333331;3,3;-5000;SI
22;Calle 22;Nombre 22;Apellido 22;ejemplo22@ejemplo.com;2444442;4,5;6500;SI
23;Calle 23;Nombre 23;Apellido 23;ejemplo23@ejemplo.com;2555553;2,7;-18000;NO
